Gender,Age,Educational_Level,Income,Adults,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Ethnicity_African American,Ethnicity_Asian American,Ethnicity_Latino,Ethnicity_caucasian,Country_East,Country_North,Country_South,Country_West,Hotel_Airport Hotels,Hotel_City Hotel,Hotel_Resort,Meal_BB,Meal_FB,Meal_HB,Deposit_No Deposit,Deposit_Non-Refundable,Deposit_Refundable,Channel_Agent,Channel_Direct,Channel_Online,Checkin_Year,Checkin_Month,Checkin_Weekday,Checkout_Year,Checkout_Month,Checkout_Weekday,Booking_Year,Booking_Month,Booking_Weekday,Stay_Duration
0,69,2,0,1,3,0,0,0,0,1,0,5,127.99266864178252,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,6,1,2015,6,4,2015,6,2,3
0,52,2,2,5,3,0,1,0,1,1,1,20,208.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2015,7,6,2015,7,0,2015,6,0,1
0,55,2,1,1,2,1,1,0,0,1,0,15,163.83622225047836,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,6,2015,7,0,2015,4,2,1
0,42,2,0,2,2,2,1,0,1,1,1,15,180.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2015,7,6,2015,7,3,2015,6,6,4
1,69,2,1,3,2,0,0,0,1,1,1,15,181.87518915677464,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,6,2015,7,1,2015,5,6,2
1,42,0,3,2,3,0,0,0,1,1,1,10,142.94671103170867,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2015,7,6,2015,7,0,2015,4,2,1
0,22,2,1,3,2,0,0,0,1,1,0,25,220.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2015,7,6,2015,7,2,2015,6,0,3
1,32,2,0,1,1,0,1,0,0,1,0,20,179.4932581574384,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,3,2015,7,4,2015,6,6,1
0,55,2,0,1,1,0,0,0,1,1,1,10,134.28397475715593,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2015,7,3,2015,7,4,2015,7,4,1
1,62,1,2,1,1,0,0,0,1,1,0,5,124.6627745101141,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,6,2015,7,0,2015,6,0,1
1,22,2,0,1,3,1,0,0,1,1,1,20,199.6816006792021,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,0,2015,7,1,2015,5,6,1
0,62,3,3,3,2,0,0,0,0,1,1,10,129.3168104276101,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2015,7,1,2015,7,5,2015,4,3,4
0,45,3,1,2,1,0,0,0,1,1,1,5,115.9799437439202,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,1,2015,7,2,2015,4,0,1
0,53,2,1,2,3,0,0,0,0,1,1,5,122.23879102373036,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2015,7,1,2015,7,4,2015,4,2,3
0,33,2,2,5,1,0,0,0,1,1,1,5,101.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2015,7,2,2015,7,4,2015,2,3,2
0,32,2,0,3,1,0,1,0,1,1,0,0,105.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,2,2015,7,3,2015,4,2,1
0,43,2,0,2,2,0,1,0,1,1,0,10,102.8834773939628,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,2015,7,2,2015,7,3,2015,5,4,1
1,38,2,1,4,2,2,0,0,1,1,1,5,137.71556345918455,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,2015,5,0,2015,5,1,2015,3,4,1
0,18,3,0,1,2,1,1,0,1,1,1,15,179.92153906757372,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,2,2015,7,3,2015,4,3,1
1,66,3,2,2,1,0,0,0,1,1,0,5,135.58949590653117,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,2,2015,7,4,2015,4,3,2
1,44,2,0,1,1,1,0,0,1,1,1,5,128.96594136907635,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,2,2015,7,5,2015,3,6,3
1,43,2,1,4,2,0,0,0,1,1,1,0,148.95144303223344,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,3,2015,7,4,2015,4,0,1
0,29,3,1,3,2,0,0,0,1,1,0,10,147.2360425507277,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,5,4,2015,5,5,2015,2,0,1
1,54,3,2,2,2,2,1,0,1,1,0,10,159.24854935250772,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,2,2015,7,3,2015,5,4,1
1,48,2,2,2,2,0,0,0,1,1,1,5,127.57728246592384,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,5,1,2015,5,4,2015,4,1,3
1,43,1,2,3,1,2,0,0,0,1,1,10,132.1801041528417,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,6,4,2015,6,5,2015,5,0,1
0,43,3,3,1,2,0,0,0,1,1,0,25,221.57843366362025,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2015,7,0,2015,7,3,2015,6,2,3
0,23,2,2,2,1,1,1,0,0,1,1,5,132.044153613707,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,0,2015,7,1,2015,6,0,1
1,43,3,1,2,2,0,1,0,0,1,0,10,145.25781032538637,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2015,5,5,2015,5,2,2015,4,1,4
0,21,2,2,1,2,0,0,0,1,1,1,10,183.23428887376429,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2015,7,1,2015,7,5,2015,5,5,4
0,35,1,1,1,1,1,0,0,1,1,1,0,159.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,5,0,2015,5,1,2015,4,5,1
1,36,1,1,2,2,0,0,0,0,1,1,10,177.8402115047877,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,1,2015,7,4,2015,5,1,3
1,51,0,2,1,1,2,0,0,1,1,1,0,147.25363119471842,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,1,2015,7,2,2015,6,0,1
1,29,2,2,1,1,1,1,1,1,1,1,0,176.72308804144214,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2015,7,1,2015,7,2,2015,4,2,1
1,68,2,2,1,2,0,0,0,1,1,0,20,181.09790253903077,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,3,2015,7,0,2015,3,5,4
0,44,2,2,1,1,0,0,0,1,1,0,0,126.6356127814195,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2015,6,1,2015,6,4,2015,4,6,3
1,62,3,0,2,2,0,1,0,1,1,1,10,148.76173523469726,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,3,2015,7,5,2015,4,0,2
1,68,3,0,1,1,0,0,0,1,1,1,5,127.35719717406413,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,3,2015,7,4,2015,3,3,1
0,69,3,0,2,2,0,0,0,1,1,0,0,104.78390532430898,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,2015,7,3,2015,7,0,2015,4,1,4
1,66,2,3,1,2,0,0,0,1,1,1,0,145.4894476721074,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2015,7,3,2015,7,4,2015,5,3,1
1,32,3,2,2,2,2,1,0,1,1,1,5,157.11011281512256,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,3,2015,7,6,2015,3,5,3
0,59,2,1,2,1,0,0,0,0,1,1,15,180.96608039354803,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2015,7,0,2015,7,1,2015,4,6,1
1,44,3,2,1,2,1,0,0,1,1,0,0,114.9734988103132,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,2015,7,3,2015,7,4,2015,5,5,1
0,48,2,2,3,2,0,1,1,0,1,1,15,175.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,4,2015,7,5,2015,7,2,1
1,28,2,3,1,2,2,0,0,1,1,1,5,116.67064159168662,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,4,2015,7,1,2015,7,0,4
0,67,2,2,2,1,0,1,1,0,1,1,0,158.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,4,2015,7,5,2015,7,4,1
0,63,2,3,1,2,0,0,0,1,1,1,0,107.2732020265464,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,7,4,2015,7,5,2015,7,5,1
1,38,2,2,2,1,0,1,0,1,1,1,20,215.5123430724429,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,4,2015,7,5,2015,7,5,1
0,21,2,1,2,2,1,1,0,1,1,1,10,192.45069654212287,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,4,2015,7,5,2015,7,5,1
1,60,2,3,4,1,1,0,0,1,1,1,5,128.9656235251647,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,5,2015,7,6,2015,6,6,1
0,26,3,0,3,1,1,0,0,1,1,1,30,225.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2015,7,5,2015,7,6,2015,6,3,1
1,52,2,3,2,1,0,1,0,0,1,1,15,201.30083434392355,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,5,2015,7,6,2015,6,1,1
1,24,1,1,2,2,1,1,0,1,1,0,0,123.23151704212778,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,6,2015,7,0,2015,6,4,1
1,60,3,0,1,2,0,1,1,1,1,1,5,118.61898759367504,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2015,7,6,2015,7,0,2015,4,5,1
0,26,2,1,3,3,0,1,1,0,1,1,25,212.26966468709543,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2015,6,0,2015,7,2,2015,6,6,2
0,26,3,0,2,1,1,1,0,1,1,1,10,149.43674361797895,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2015,7,6,2015,7,0,2015,6,4,1
0,69,2,3,2,1,0,0,0,1,1,1,10,151.23094629554737,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,2015,7,6,2015,7,0,2015,7,4,1
0,56,0,0,1,3,0,1,0,1,1,0,20,204.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2015,7,6,2015,7,0,2015,5,5,1
0,42,2,2,1,1,0,1,0,0,1,1,5,114.30715149724986,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2015,6,1,2015,6,2,2015,4,1,1
0,61,2,2,3,2,0,0,0,1,1,1,25,201.4053626110282,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2015,6,3,2015,6,5,2015,4,5,2
1,63,2,2,2,3,0,0,0,1,1,1,5,123.3337129712912,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2015,7,4,2015,7,5,2015,5,6,1
0,65,2,2,2,1,0,0,0,1,1,1,10,215.6811619627912,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,6,4,2015,6,5,2015,3,2,1
1,67,2,0,4,2,0,0,0,0,1,0,0,171.28271631118665,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2015,7,6,2015,7,0,2015,7,5,1
0,55,2,0,1,1,0,1,1,1,1,0,5,147.36505092198544,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2015,7,6,2015,7,1,2015,6,0,2
0,53,3,3,3,1,0,0,0,0,1,0,0,101.10742332055624,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2015,6,1,2015,6,4,2015,4,2,3
0,22,2,1,1,2,0,0,0,1,1,0,0,139.44367846272357,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,0,2015,7,1,2015,7,5,1
0,46,3,1,1,2,0,0,0,1,1,1,15,172.81170169726045,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,5,1,2015,5,4,2015,4,5,3
0,40,3,2,4,3,0,1,1,1,1,0,20,222.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,1,2015,7,3,2015,7,1,2
0,64,2,1,1,1,0,0,0,1,1,1,10,185.5718374410724,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,7,1,2015,7,3,2015,4,1,2
1,44,1,1,4,2,1,0,0,0,1,0,5,153.37364284383122,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,5,2015,7,6,2015,4,2,1
0,28,2,0,1,2,0,1,0,0,1,1,15,194.8002619734971,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,6,2015,7,2,2015,4,1,3
0,40,2,2,1,1,1,1,1,1,1,1,20,209.5790101673843,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2015,5,1,2015,5,2,2014,5,5,1
0,21,1,3,5,2,0,0,0,1,1,1,25,243.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,2015,7,0,2015,7,3,2014,7,3,3
1,62,3,2,2,1,0,1,0,1,1,1,0,179.71828112275503,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2015,6,1,2015,6,2,2015,3,5,1
1,58,1,2,2,1,0,0,0,1,1,1,5,100.06156374444429,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2015,7,0,2015,7,4,2015,4,3,4
1,34,2,0,1,1,0,1,0,0,1,1,5,134.86294197725343,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2015,7,4,2015,7,5,2014,8,3,1
0,31,2,1,5,2,2,0,0,1,1,1,5,100.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,4,2015,7,0,2015,5,1,3
0,37,3,0,1,1,0,0,0,0,1,1,20,162.4369496431699,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,4,2,2015,4,5,2015,1,3,3
1,51,1,0,1,1,0,0,0,0,1,1,0,121.50673324845042,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,5,2015,7,1,2015,6,3,3
0,47,2,1,2,1,0,0,0,1,1,1,5,121.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,5,2015,7,6,2015,6,4,1
1,56,3,0,1,1,0,0,0,1,1,0,0,132.69831084999177,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,5,2015,7,6,2015,7,5,1
0,51,2,0,2,1,0,0,0,1,1,1,30,238.2596558416788,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,5,2015,7,0,2015,6,0,2
0,39,3,0,2,1,1,0,0,0,1,1,5,113.67320508015008,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2015,7,5,2015,7,1,2015,6,6,3
0,29,3,2,4,2,2,1,1,0,1,1,25,231.68903721364532,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2015,7,5,2015,7,0,2015,3,3,2
1,46,2,1,4,1,0,1,1,1,1,0,0,102.03791713292487,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2015,5,1,2015,5,2,2015,2,5,1
0,66,2,2,2,1,0,0,0,1,1,1,0,103.07561320675204,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,2015,6,0,2015,6,1,2015,4,6,1
0,49,2,1,1,2,0,0,0,1,1,1,10,140.8360676674805,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,5,2,2015,5,3,2015,3,3,1
0,38,3,3,2,1,1,0,0,1,1,1,20,240.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,2015,7,4,2015,7,6,2015,5,6,2
0,57,2,1,2,1,0,0,0,1,1,1,0,101.21614826107216,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,4,2015,7,1,2015,4,5,4
1,46,3,2,1,1,0,0,0,1,1,1,10,132.54847013496317,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,4,2015,7,6,2015,4,2,2
0,59,2,2,1,2,0,0,0,0,1,1,20,215.7249439877937,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,1,2015,7,3,2015,7,6,2
1,23,2,0,2,2,0,0,0,1,1,0,0,159.32647199320763,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,1,2015,7,5,2015,4,5,4
1,32,0,1,3,2,0,1,1,1,1,1,0,173.7406849043009,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2015,7,4,2015,7,6,2015,4,5,2
1,28,1,0,2,1,2,1,0,1,1,1,5,145.17059846778668,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,4,2015,7,5,2015,4,1,1
0,47,3,1,2,1,0,0,0,1,1,1,0,150.11922855562014,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2015,7,5,2015,7,1,2015,4,4,3
0,52,1,0,3,1,0,1,0,0,1,1,5,114.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,6,1,2015,6,2,2015,5,4,1
1,35,3,1,2,2,0,0,0,1,1,1,15,174.20425745631215,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,2015,5,2,2015,5,3,2015,3,0,1
0,48,1,2,1,2,0,1,0,0,1,0,5,169.25624332712906,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2015,4,2,2015,4,4,2015,1,0,2
0,26,1,1,1,1,0,0,0,1,1,1,0,102.0208748843138,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,5,2015,7,0,2015,3,4,2
0,30,2,0,5,1,2,1,1,0,1,1,5,158.99709985229538,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2015,7,5,2015,7,6,2015,4,2,1
0,57,2,2,1,3,0,1,0,1,1,0,0,124.8399862787436,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2015,7,5,2015,7,0,2015,4,5,2
1,19,2,0,3,2,1,1,1,1,1,1,5,102.96801334439272,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2015,7,5,2015,7,6,2015,4,5,1
0,22,2,1,5,2,0,1,0,1,1,0,25,214.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2015,7,5,2015,7,6,2015,5,3,1
1,60,0,0,1,2,0,1,0,1,1,1,15,176.20777114811762,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,6,2015,7,2,2015,6,1,3
0,23,3,2,1,1,2,0,0,1,1,1,5,124.3121228480919,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2015,5,1,2015,5,2,2015,2,6,1
1,55,2,2,4,3,0,0,0,1,1,1,0,133.9840568312315,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2015,7,6,2015,7,0,2015,3,3,1
1,58,2,2,3,1,0,0,0,0,1,1,0,128.04887682470002,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,1,2015,7,3,2015,4,2,2
0,31,3,2,5,1,1,0,0,1,1,1,25,240.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,1,2015,7,5,2015,4,4,4
0,33,2,0,2,1,0,0,0,1,1,0,10,151.47348838397536,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2015,7,1,2015,7,3,2015,4,1,2
1,41,2,1,3,2,0,0,0,1,1,1,5,121.5223949722904,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,6,2015,7,0,2015,7,5,1
0,38,2,2,2,1,0,0,0,1,1,1,15,184.013079104655,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,7,6,2015,7,1,2015,6,6,2
1,24,3,2,2,2,0,0,0,0,1,1,0,112.773401455934,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,2015,5,4,2015,5,6,2015,4,4,2
0,63,2,2,2,1,0,1,1,1,1,1,10,149.3655070335645,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,5,2015,7,6,2015,5,5,1
1,58,3,2,2,3,0,0,0,1,1,0,10,136.5449425417914,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,5,2,2015,5,4,2015,3,1,2
1,26,3,2,1,1,0,0,0,1,1,0,0,137.86956413989355,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2015,6,1,2015,6,3,2015,5,5,2
0,20,2,0,2,1,0,0,0,1,1,1,5,130.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2015,7,6,2015,7,1,2015,6,4,2
0,44,2,1,2,1,2,0,0,1,1,1,20,203.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,2015,7,6,2015,7,2,2015,6,1,3
1,38,3,2,3,3,0,1,1,1,1,1,10,180.87453557967737,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,0,2015,7,2,2015,3,0,2
1,64,3,1,5,1,0,0,0,1,1,1,0,183.592911430855,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,0,2015,7,1,2015,7,0,1
1,29,3,0,2,2,0,1,0,1,1,1,10,185.49342090322696,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2015,7,0,2015,7,1,2015,3,6,1
1,35,2,2,3,1,0,0,0,1,1,1,10,187.43651838690377,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2015,7,0,2015,7,2,2015,3,0,2
1,53,0,1,1,1,0,0,0,1,1,1,15,195.8231336809352,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2015,7,0,2015,7,2,2015,6,0,2
0,38,3,0,2,1,2,0,0,0,1,0,5,186.27580932733656,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,2,2015,7,6,2015,6,1,4
1,22,1,1,1,2,0,0,0,1,1,1,0,102.70491152154976,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,0,2015,7,1,2015,7,1,1
1,47,1,0,2,2,0,1,1,1,1,0,5,120.20552397547657,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,0,2015,7,2,2015,6,0,2
1,69,3,3,4,2,0,0,0,0,1,1,10,154.59619946195008,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2015,7,0,2015,7,2,2015,7,0,2
0,25,2,3,2,1,0,0,0,1,1,1,15,179.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2015,7,0,2015,7,4,2015,7,2,4
1,22,1,2,3,1,0,1,1,1,1,1,30,237.95046320006853,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,0,2015,7,3,2015,6,1,3
